,number_of_vehicles_involved,number_of_casualties,accident_severity,time_hours,day_of_week_encoded,driving_experience_encoded,educational_level_encoded,age_band_of_casualty_encoded,service_year_of_vehicle_encoded,age_band_of_driver_encoded,casualty_severity_encoded,cause_of_accident_encoded,type_of_vehicle_encoded,area_accident_occured_encoded,vehicle_movement_encoded,road_allignment_encoded,type_of_collision_encoded,pedestrian_movement_encoded,weather_conditions_encoded,types_of_junction_encoded,lanes_or_medians_encoded,road_surface_type_encoded,owner_of_vehicle_encoded,road_surface_conditions_encoded,casualty_class_encoded,light_conditions_encoded,sex_of_casualty_encoded,sex_of_driver_encoded
1637,2,1,Slight Injury,16,0,2,4,5,5,0,3,10,10,7,2,5,2,5,2,7,4,0,3,0,3,3,2,1
1638,2,1,Slight Injury,16,0,3,4,0,5,0,2,10,0,7,12,5,6,5,2,7,0,0,3,0,0,3,1,1
1639,1,1,Serious Injury,20,0,6,1,5,5,2,3,1,0,9,2,5,8,5,2,1,2,0,3,0,3,0,2,1
1640,1,1,Serious Injury,20,2,2,4,4,1,1,1,0,8,8,2,5,1,5,2,7,4,0,3,0,2,0,0,1
1641,2,2,Slight Injury,1,3,2,4,4,5,0,1,10,17,7,2,5,8,5,2,1,6,0,3,0,2,0,0,2
1642,2,2,Slight Injury,1,3,4,4,1,5,0,0,17,14,6,2,5,8,5,2,1,4,0,3,0,0,0,1,1
1643,2,2,Slight Injury,1,3,6,5,1,5,1,2,12,17,7,2,5,1,5,2,1,4,0,4,0,0,0,1,1
1644,2,2,Slight Injury,8,1,2,4,1,5,0,2,9,0,6,2,5,1,5,2,0,4,0,3,0,0,3,1,1
1645,2,2,Slight Injury,8,1,2,4,5,5,1,3,5,0,6,2,5,8,5,2,0,1,0,3,0,3,3,2,1
1646,2,1,Slight Injury,8,2,3,4,1,5,1,2,9,3,6,2,5,8,5,2,7,4,0,3,0,0,3,0,1
1647,2,1,Slight Injury,8,2,3,2,0,5,4,2,1,10,7,2,5,8,5,2,7,4,0,3,0,0,3,0,1
1648,1,1,Serious Injury,17,0,3,4,0,5,4,2,15,10,7,2,5,8,5,2,1,0,0,0,0,0,3,1,1
1649,1,1,Slight Injury,16,5,3,4,0,5,4,2,5,4,6,2,5,8,5,2,1,3,0,3,0,0,3,1,1
1650,2,1,Slight Injury,13,6,3,4,4,5,0,2,3,4,9,2,5,2,1,2,7,6,0,3,0,2,3,0,1
1651,2,1,Slight Injury,13,6,3,4,4,1,4,2,10,8,1,2,5,8,1,2,7,4,0,0,0,2,3,1,0
1652,1,1,Slight Injury,21,3,2,4,5,0,1,3,12,0,7,9,5,8,5,2,7,6,0,3,0,3,0,2,1
1653,1,1,Serious Injury,17,0,1,4,0,3,4,2,15,0,9,7,5,8,5,2,7,6,0,3,0,0,3,1,1
1654,1,1,Slight Injury,23,6,4,4,5,5,1,3,5,0,7,3,5,8,5,2,7,6,0,3,0,3,0,2,1
1655,2,1,Slight Injury,19,2,4,4,5,5,0,3,1,3,7,2,5,8,5,2,7,6,0,3,0,3,0,2,1
1656,2,1,Slight Injury,19,2,1,4,4,2,4,2,1,3,7,3,5,8,5,2,7,1,0,3,0,1,0,0,1
1657,2,1,Slight Injury,16,6,4,1,5,5,0,3,1,0,7,2,5,8,5,2,7,2,0,3,0,3,3,2,1
1658,2,1,Slight Injury,16,6,4,4,1,1,2,2,1,14,7,2,5,8,5,2,7,6,0,3,0,0,3,0,1
1659,2,1,Slight Injury,21,2,6,4,4,5,0,2,9,17,12,2,5,8,5,2,0,4,0,3,0,1,0,1,1
1660,2,1,Slight Injury,21,2,2,5,5,5,0,3,10,7,6,2,5,8,5,2,0,2,0,3,0,3,0,2,1
1661,2,2,Slight Injury,16,6,4,6,0,5,1,2,15,13,6,2,5,8,5,2,1,2,0,3,0,0,3,1,1
1662,2,2,Slight Injury,16,6,4,4,0,2,1,2,10,5,6,11,5,8,5,2,1,2,0,3,0,1,3,1,1
1663,2,1,Slight Injury,13,4,0,4,0,5,3,2,3,8,12,2,5,8,5,2,0,5,0,3,0,1,3,1,1
1664,2,1,Slight Injury,13,4,3,1,5,5,4,3,10,4,12,11,5,8,5,2,0,4,0,0,0,3,3,2,1
1665,1,1,Slight Injury,21,5,3,1,4,5,0,2,10,5,6,2,5,8,5,2,1,2,0,3,0,0,0,1,1
1666,1,1,Slight Injury,10,4,4,1,1,5,4,2,10,6,6,3,5,2,5,2,1,2,0,3,0,1,3,0,0
1667,2,1,Slight Injury,17,4,1,2,5,3,0,3,1,0,12,2,5,8,5,2,1,2,0,0,0,3,3,2,1
1668,2,1,Slight Injury,17,4,1,4,1,0,2,1,10,0,13,2,5,8,5,2,1,2,0,3,0,0,3,1,1
1669,3,1,Slight Injury,12,0,3,0,0,3,4,2,12,0,7,3,5,8,5,2,7,2,0,3,0,0,3,1,1
1670,3,1,Slight Injury,12,0,1,4,0,4,1,2,0,14,7,2,5,8,5,2,7,4,0,3,0,1,3,1,1
1671,3,1,Slight Injury,12,0,1,4,0,3,4,2,9,17,7,9,5,1,5,2,7,2,0,3,0,0,3,0,1
1672,2,1,Slight Injury,15,0,0,2,0,5,1,2,3,11,9,2,5,8,5,2,1,4,0,3,0,0,3,1,1
1673,2,1,Slight Injury,15,0,2,4,3,0,2,2,0,11,7,2,5,8,5,2,1,4,0,0,0,0,3,0,1
1674,2,1,Slight Injury,8,3,4,4,5,0,3,3,11,14,7,11,5,8,5,2,2,4,0,3,0,3,3,2,1
1675,2,1,Slight Injury,8,3,4,4,4,5,2,2,10,0,4,2,5,8,1,2,2,4,0,3,0,2,3,1,1
1676,2,1,Slight Injury,14,2,6,1,1,5,0,2,10,2,1,2,5,8,5,2,1,4,0,3,0,2,3,0,1
1677,2,1,Slight Injury,14,2,4,4,5,3,1,3,17,0,2,2,5,8,5,2,1,2,0,3,0,3,3,2,1
1678,2,2,Slight Injury,10,4,0,4,1,5,0,2,10,5,6,2,5,8,5,2,2,2,0,3,0,0,3,0,1
1679,2,2,Slight Injury,10,4,1,1,3,5,1,2,6,0,7,7,5,8,5,2,2,2,0,3,0,0,3,0,1
1680,2,1,Slight Injury,22,0,0,2,5,5,1,3,9,10,6,2,5,1,5,2,7,4,0,3,0,3,0,2,1
1681,2,1,Slight Injury,22,0,2,4,5,5,0,3,11,13,6,3,5,8,5,2,7,2,0,3,0,3,0,2,1
1682,2,2,Slight Injury,21,0,4,4,3,5,0,2,0,0,7,2,5,8,5,2,7,2,0,3,0,0,0,1,1
1683,2,2,Slight Injury,21,0,3,2,4,3,0,2,0,10,9,2,5,8,5,2,7,4,0,3,0,1,0,1,1
1684,2,2,Slight Injury,21,0,2,1,3,3,0,2,7,17,6,2,7,8,5,2,7,6,0,3,0,0,0,1,1
1685,2,2,Slight Injury,17,2,4,1,5,3,0,3,10,5,9,2,5,2,5,2,2,6,0,3,0,3,3,2,1
1686,2,2,Slight Injury,17,2,2,4,1,5,1,2,1,5,12,2,5,8,5,2,2,2,0,4,0,0,3,1,1
1687,1,1,Slight Injury,0,3,2,1,0,3,4,2,1,9,6,9,2,8,5,2,7,2,0,3,0,1,0,0,0
1688,1,1,Slight Injury,14,3,1,4,0,2,1,2,9,5,7,2,5,8,5,2,7,6,0,3,0,0,3,1,1
1689,1,1,Slight Injury,16,1,3,4,5,3,0,3,2,5,7,2,5,8,5,2,0,4,0,3,0,3,3,2,1
1690,1,1,Slight Injury,13,5,2,4,0,3,1,1,0,9,2,3,5,8,0,2,1,6,0,3,0,2,3,1,1
1691,2,1,Slight Injury,10,5,0,2,5,5,2,3,1,11,6,2,5,8,5,2,0,2,0,3,0,3,3,2,2
1692,2,1,Slight Injury,10,5,2,1,1,5,1,2,10,0,7,2,5,8,5,2,0,2,0,3,0,0,3,1,1
1693,2,2,Slight Injury,21,6,1,1,0,5,1,2,1,8,6,2,6,2,5,4,1,2,0,3,3,1,0,1,1
1694,2,2,Slight Injury,21,6,4,4,5,5,2,3,1,14,6,4,5,8,5,4,1,2,0,3,3,3,0,2,1
1695,2,1,Slight Injury,8,4,4,4,0,3,0,2,10,7,6,2,2,8,5,4,0,2,0,3,3,0,3,1,1
1696,2,1,Slight Injury,8,4,2,4,5,3,1,3,1,17,2,2,2,8,5,4,0,4,0,3,3,3,3,2,1
1697,2,1,Slight Injury,13,1,2,4,5,3,1,3,3,0,6,2,1,8,5,2,7,4,0,3,0,3,3,2,1
1698,2,1,Slight Injury,13,1,0,1,4,2,0,2,3,14,7,7,1,6,5,2,7,0,0,3,0,1,3,0,1
1699,2,1,Slight Injury,23,0,6,4,0,5,0,2,1,8,7,2,5,8,5,2,7,2,0,3,0,1,0,0,1
1700,2,1,Slight Injury,23,0,3,1,4,2,1,2,17,5,2,2,7,8,5,2,7,5,1,3,0,1,0,0,1
1701,3,1,Slight Injury,15,3,0,4,5,0,1,3,1,0,12,4,5,2,5,2,1,4,0,3,0,3,3,2,1
1702,3,1,Slight Injury,15,3,6,5,1,5,1,2,9,17,2,0,5,8,5,2,1,2,0,4,0,0,3,1,1
1703,3,1,Slight Injury,15,3,3,4,0,3,4,2,10,5,6,9,5,8,5,2,1,4,0,3,0,1,3,0,0
1704,2,1,Slight Injury,10,2,1,1,5,1,1,3,17,5,7,2,5,8,5,2,1,6,0,3,0,3,3,2,1
1705,2,1,Slight Injury,10,2,2,4,5,3,1,3,3,5,2,2,4,2,5,2,1,2,3,3,0,3,3,2,1
1706,2,1,Slight Injury,16,5,4,4,1,0,1,2,1,8,7,2,5,2,5,2,7,0,0,0,0,0,0,1,1
1707,2,1,Slight Injury,16,5,2,4,5,3,0,3,2,8,7,2,5,8,5,2,7,0,0,0,0,3,0,2,1
1708,2,1,Slight Injury,0,1,3,2,1,2,1,2,0,0,6,2,1,8,5,2,0,2,0,1,0,0,0,1,1
1709,2,1,Slight Injury,0,1,2,4,5,3,0,3,3,7,7,2,5,2,5,2,0,2,0,1,0,3,0,2,1
1710,2,1,Slight Injury,11,3,0,1,1,1,0,2,10,17,7,2,5,2,5,5,7,2,0,3,3,0,3,1,1
1711,2,1,Slight Injury,11,3,6,4,5,5,1,3,9,0,9,2,5,8,5,5,7,2,0,0,3,3,3,2,1
1712,1,2,Slight Injury,17,4,0,1,0,1,1,2,11,6,6,1,5,8,5,2,7,2,0,3,0,0,0,1,1
1713,1,2,Slight Injury,17,4,0,4,5,1,1,3,9,0,2,1,5,8,5,2,7,1,0,3,0,3,0,2,1
1714,1,1,Slight Injury,18,5,0,0,1,0,1,2,1,0,13,1,5,2,5,2,0,4,0,3,0,0,0,0,1
1715,1,1,Slight Injury,17,5,2,4,5,3,0,3,10,9,0,3,3,8,5,2,0,6,0,3,0,3,0,2,1
1716,4,2,Slight Injury,18,4,2,4,1,3,1,2,6,3,7,2,7,8,5,2,0,2,0,3,0,0,0,0,1
1717,4,2,Slight Injury,18,4,2,1,1,5,0,2,1,17,7,2,7,8,5,2,0,4,0,3,0,1,0,1,1
1718,4,2,Slight Injury,18,4,4,2,3,5,0,2,3,0,2,12,5,6,5,2,0,4,0,3,0,1,0,0,1
1719,4,2,Slight Injury,18,4,3,4,1,0,0,2,4,11,9,2,5,8,5,2,0,4,0,0,0,1,0,0,1
1720,1,1,Slight Injury,11,4,2,4,3,5,0,2,1,8,7,4,5,8,5,8,0,4,0,3,3,1,3,1,1
1721,2,1,Serious Injury,23,0,4,4,3,5,3,1,1,5,7,2,5,1,5,2,0,2,0,3,0,2,0,0,1
1722,2,1,Serious Injury,23,0,3,4,0,5,1,2,3,0,7,2,5,8,6,2,0,0,0,3,0,2,0,0,1
1723,2,1,Slight Injury,12,3,2,4,5,5,0,3,0,10,1,2,5,8,5,2,7,2,0,3,0,3,3,2,1
1724,2,1,Slight Injury,12,3,3,4,4,5,0,2,12,0,1,2,5,8,5,2,7,1,0,3,0,0,3,1,1
1725,2,1,Slight Injury,21,4,2,4,1,5,0,1,3,11,7,5,5,8,5,2,7,2,0,3,0,0,0,1,1
1726,2,1,Slight Injury,21,4,0,4,5,0,1,3,1,9,6,2,5,2,5,2,7,2,2,1,0,3,0,2,1
1727,2,1,Slight Injury,14,4,0,4,4,1,4,2,3,0,9,2,5,8,1,2,7,2,0,3,0,2,3,0,1
1728,2,1,Slight Injury,14,4,0,4,3,1,1,2,5,5,7,2,5,8,5,2,7,2,0,3,0,0,3,1,1
1729,2,1,Slight Injury,7,0,1,2,3,0,4,2,10,0,9,9,3,8,5,2,1,4,0,4,0,0,3,0,1
1730,2,1,Slight Injury,7,0,3,2,4,5,1,2,0,8,2,2,5,8,5,2,1,0,0,3,0,1,3,0,1
1731,1,1,Slight Injury,23,4,1,1,1,1,0,2,12,9,7,2,5,2,5,2,7,1,0,3,0,0,0,1,1
1732,2,1,Slight Injury,9,2,3,4,5,2,1,3,9,0,6,1,7,8,5,2,0,2,0,3,0,3,3,2,1
1733,2,1,Slight Injury,9,2,1,2,0,1,2,1,9,0,7,3,5,2,5,2,0,4,0,3,0,0,3,1,1
1734,1,1,Slight Injury,11,3,5,4,1,5,1,0,10,0,1,1,3,8,5,2,1,2,0,3,0,0,3,1,1
1735,2,4,Slight Injury,10,2,0,4,5,5,1,3,1,14,7,5,5,6,5,2,1,4,0,3,0,3,3,2,1
1736,2,4,Slight Injury,10,2,2,4,5,0,1,3,1,7,6,2,5,8,5,2,1,2,1,3,0,3,3,2,1
1737,2,4,Slight Injury,10,2,0,4,0,5,1,2,9,7,9,2,5,8,5,2,1,4,0,0,0,0,3,1,1
1738,2,4,Slight Injury,10,2,3,4,5,5,1,3,3,7,6,2,5,8,5,2,1,1,0,3,0,3,3,2,1
1739,2,4,Slight Injury,10,2,0,4,3,5,4,2,5,10,6,7,5,8,5,2,1,2,0,3,0,0,3,1,1
1740,2,1,Slight Injury,19,1,0,4,0,5,1,2,10,5,2,1,5,8,5,2,2,0,0,3,0,0,3,1,1
1741,2,1,Slight Injury,19,1,1,4,5,5,1,3,10,9,2,2,5,1,5,2,2,4,0,3,0,3,3,2,1
1742,2,1,Slight Injury,15,3,0,2,5,5,0,3,12,0,9,2,5,6,5,2,7,4,0,3,0,3,3,2,1
1743,2,1,Slight Injury,15,3,0,4,5,5,4,3,4,0,7,2,5,8,5,2,7,4,0,3,0,3,3,2,0
1744,2,1,Slight Injury,15,4,3,1,3,5,1,2,12,14,7,7,5,6,5,2,7,6,0,3,0,0,3,0,1
1745,2,1,Slight Injury,15,4,3,4,0,5,2,2,12,5,13,2,5,8,5,2,7,4,0,3,0,0,3,1,1
1746,1,1,Slight Injury,12,0,3,1,1,1,1,2,12,5,9,8,5,8,5,4,7,4,0,3,3,0,3,1,1
1747,2,1,Slight Injury,18,0,3,4,0,5,0,2,10,5,6,5,5,8,5,2,1,4,0,3,0,0,3,1,1
1748,2,1,Slight Injury,18,0,0,4,5,5,0,3,9,11,9,2,5,4,5,2,1,4,0,3,0,3,3,2,1
1749,1,1,Slight Injury,15,3,2,4,5,5,1,3,1,9,7,7,5,8,5,2,1,2,0,3,0,3,3,2,1
1750,1,2,Slight Injury,6,5,1,2,3,5,1,2,3,7,7,2,5,2,5,2,7,2,0,3,0,0,3,1,1
1751,1,2,Slight Injury,6,5,1,4,4,5,1,2,0,9,1,2,5,8,1,2,7,2,0,3,0,2,3,1,1
1752,2,3,Slight Injury,8,1,2,4,4,2,1,1,10,7,2,7,5,8,5,2,7,1,0,3,0,0,3,1,1
1753,2,3,Slight Injury,8,1,2,4,4,5,1,1,1,9,12,2,5,8,5,2,7,2,0,3,0,1,3,0,2
1754,2,3,Slight Injury,8,1,1,4,4,1,1,2,5,14,6,12,5,1,5,2,7,4,0,3,0,1,3,1,1
1755,2,1,Slight Injury,14,1,3,2,4,0,0,1,10,0,7,2,5,8,5,2,2,5,5,3,0,1,3,0,1
1756,2,1,Slight Injury,14,1,2,1,5,2,0,3,17,5,9,2,5,8,5,2,2,4,0,3,0,3,3,2,1
1757,2,1,Slight Injury,10,6,3,4,1,3,1,2,10,13,7,2,5,8,5,2,1,4,0,3,0,0,3,0,1
1758,2,1,Slight Injury,10,6,1,6,5,0,1,3,1,5,7,2,3,6,5,2,1,6,0,3,0,3,3,2,1
1759,1,1,Slight Injury,12,6,1,4,5,1,1,3,12,5,6,1,3,2,5,8,1,1,0,3,3,3,3,2,1
1760,1,1,Slight Injury,11,1,1,2,4,5,0,2,1,11,9,2,5,8,5,2,0,2,0,3,0,1,3,0,1
1761,2,1,Slight Injury,13,4,0,4,0,5,0,2,0,0,7,2,5,8,6,2,0,2,0,3,0,2,3,1,1
1762,2,1,Slight Injury,13,4,2,2,4,1,0,2,10,0,9,2,5,2,5,2,0,4,0,1,0,2,3,0,1
1763,2,1,Slight Injury,13,4,1,1,5,5,2,3,11,0,2,7,5,8,5,2,7,2,0,3,0,3,3,2,1
1764,2,1,Slight Injury,13,4,0,4,0,5,0,2,3,11,9,9,5,8,5,2,7,2,0,0,0,0,3,0,1
1765,1,1,Slight Injury,16,6,0,1,0,5,4,2,10,4,6,2,5,8,5,2,1,1,0,3,0,1,3,0,1
1766,2,1,Slight Injury,20,3,5,2,0,4,2,2,3,8,9,2,5,6,5,2,0,2,0,0,0,1,0,0,1
1767,2,1,Slight Injury,20,3,2,4,1,5,1,2,3,4,7,2,5,6,5,2,0,1,0,3,0,0,0,0,1
1768,2,1,Slight Injury,2,3,0,4,5,5,0,3,9,8,4,2,5,1,5,2,7,2,0,3,0,3,0,2,1
1769,2,1,Slight Injury,2,3,1,4,0,5,0,2,16,13,2,1,5,8,5,2,7,2,0,3,0,0,0,1,1
1770,1,1,Slight Injury,15,2,2,4,5,1,2,3,12,4,9,2,3,8,5,2,7,4,0,3,0,3,3,2,1
1771,2,1,Slight Injury,18,6,6,5,5,5,0,3,12,17,13,2,5,8,5,2,1,2,0,4,0,3,3,2,1
1772,2,1,Slight Injury,18,6,6,5,0,5,4,1,0,17,13,2,5,1,5,2,1,2,0,4,0,0,3,1,1
1773,2,1,Slight Injury,17,5,1,4,4,0,0,2,12,5,6,2,5,1,5,2,5,4,0,3,0,0,3,0,1
1774,2,1,Slight Injury,17,5,3,4,5,3,1,3,10,7,5,2,7,8,5,2,5,2,0,3,0,3,3,2,1
1775,2,1,Slight Injury,12,4,3,4,4,3,2,2,9,7,2,2,3,8,5,2,7,2,0,3,0,2,3,0,1
1776,2,1,Slight Injury,12,4,6,5,0,5,4,2,1,0,6,2,7,8,5,2,7,6,0,3,0,0,3,1,1
1777,1,1,Slight Injury,8,5,3,1,0,3,4,2,10,7,2,2,3,2,5,2,1,2,0,3,0,1,3,1,1
1778,2,1,Slight Injury,16,6,6,5,4,5,0,2,16,0,6,2,7,8,5,2,1,6,0,4,0,1,3,0,1
1779,2,1,Slight Injury,16,6,2,4,4,5,2,2,10,10,6,2,5,2,1,2,1,4,0,0,0,2,3,1,1
1780,2,1,Slight Injury,18,2,3,4,5,0,0,3,0,5,12,7,5,8,5,2,1,2,0,3,0,3,3,2,1
1781,2,1,Slight Injury,18,2,3,2,0,4,4,2,5,17,9,2,5,8,5,2,1,2,0,3,0,1,3,1,1
1782,1,1,Slight Injury,12,4,6,5,1,5,1,1,10,0,6,9,7,2,6,2,7,6,0,3,0,2,3,1,1
1783,2,1,Slight Injury,16,4,2,1,4,5,4,2,10,17,11,2,5,8,0,2,0,6,0,3,0,2,3,0,1
1784,2,1,Slight Injury,16,4,3,1,1,5,2,2,1,5,7,2,5,8,3,2,0,2,0,3,0,2,3,1,1
1785,2,1,Slight Injury,11,4,4,4,1,5,0,1,0,17,9,2,5,2,5,2,7,4,0,3,0,0,3,1,1
1786,2,1,Slight Injury,11,4,1,4,5,5,1,3,9,5,6,2,5,2,5,2,7,4,0,3,0,3,3,2,1
1787,1,1,Slight Injury,20,3,1,4,4,5,4,1,10,15,6,7,5,8,5,2,7,4,0,3,0,0,0,1,1
1788,2,1,Slight Injury,23,4,2,2,3,5,1,1,10,5,9,2,5,8,0,2,1,4,0,3,0,2,0,0,1
1789,2,1,Slight Injury,23,4,6,4,0,5,4,2,3,5,6,9,5,8,5,2,1,4,0,3,0,0,0,0,1
1790,1,1,Slight Injury,13,0,4,5,0,5,0,2,9,7,6,2,5,8,5,2,7,4,0,3,0,1,3,0,1
1791,2,1,Slight Injury,10,0,3,1,1,5,2,2,10,14,6,2,5,8,5,2,7,5,0,3,0,1,3,1,1
1792,2,1,Slight Injury,10,0,4,1,0,5,0,2,1,14,6,2,5,8,5,2,7,2,0,3,0,1,3,0,1
1793,2,1,Slight Injury,1,5,2,4,4,5,0,2,3,5,7,2,5,8,5,2,0,4,0,3,0,2,0,0,1
1794,2,1,Slight Injury,1,5,2,4,1,5,3,2,4,5,7,2,5,8,6,2,0,2,0,3,0,2,0,0,1
1795,1,1,Slight Injury,15,1,6,5,5,1,1,3,1,7,7,1,5,8,5,2,1,2,0,3,0,3,3,2,1
1796,1,1,Slight Injury,15,1,0,4,1,1,1,2,3,0,9,3,5,8,5,2,1,1,0,3,0,0,3,1,1
1797,3,1,Slight Injury,14,5,2,2,0,1,0,2,1,17,12,2,6,8,5,2,0,4,0,3,0,1,3,1,1
1798,3,1,Slight Injury,14,5,2,4,5,1,2,3,12,15,9,9,6,8,5,2,0,4,0,3,0,3,3,2,1
1799,3,1,Slight Injury,14,5,2,4,0,1,0,2,1,5,6,2,5,8,5,2,0,2,0,3,0,0,3,1,1
1800,2,1,Slight Injury,18,5,2,4,5,5,1,3,18,7,2,11,5,8,5,2,0,1,0,3,0,3,3,2,1
1801,2,1,Slight Injury,18,5,3,4,0,5,0,2,12,0,7,2,5,8,5,2,0,4,0,3,0,1,3,1,1
1802,2,1,Slight Injury,20,5,2,4,1,1,0,2,2,11,7,2,5,8,5,2,0,1,0,3,0,0,0,1,1
1803,2,1,Slight Injury,20,5,5,4,5,2,4,3,10,14,7,2,5,8,5,2,0,2,0,3,0,3,0,2,1
1804,2,1,Slight Injury,19,6,4,0,4,5,0,2,10,0,7,2,5,8,5,2,0,2,0,3,0,0,3,1,1
1805,2,1,Slight Injury,19,6,2,1,4,5,2,2,3,5,6,9,5,2,5,2,0,4,0,3,0,0,3,1,1
1806,2,1,Slight Injury,11,6,2,1,1,5,2,2,3,7,6,9,5,8,5,2,0,3,0,3,0,0,3,1,2
1807,2,1,Slight Injury,11,6,2,4,3,5,0,2,9,10,9,2,5,1,5,2,0,4,0,3,0,0,3,1,1
1808,2,1,Slight Injury,18,4,2,2,1,5,0,2,10,7,6,1,5,8,5,4,2,1,0,3,3,0,3,1,1
1809,2,1,Slight Injury,18,4,2,4,1,5,4,2,1,7,9,1,5,2,5,4,2,2,0,3,3,1,3,0,1
1810,1,1,Slight Injury,16,4,1,4,5,5,1,3,16,12,6,2,5,8,5,4,7,4,0,3,3,3,3,2,1
1811,2,1,Slight Injury,0,0,2,6,0,5,0,2,10,5,7,5,5,8,5,4,7,2,0,3,3,0,0,1,1
1812,2,1,Slight Injury,0,0,3,4,5,5,4,3,16,5,6,7,5,8,5,4,7,1,0,3,3,3,0,2,1
1813,2,1,Slight Injury,11,2,0,4,0,5,1,2,9,8,12,2,5,8,5,2,2,4,0,3,0,0,3,1,1
1814,2,1,Slight Injury,11,2,4,6,5,5,0,3,10,4,9,1,5,8,5,2,2,1,0,3,0,3,3,2,1
1815,2,2,Slight Injury,21,0,0,1,1,5,0,2,10,0,6,1,5,6,5,2,7,4,0,3,0,0,0,0,1
1816,2,2,Slight Injury,21,0,2,4,3,5,2,2,12,0,9,7,5,2,5,2,7,4,0,3,0,0,0,1,1
1817,1,1,Slight Injury,13,2,3,1,3,3,1,2,12,8,6,9,5,8,5,2,7,4,0,3,0,1,3,0,1
1818,2,1,Slight Injury,18,2,2,4,5,3,3,3,0,0,9,3,5,2,5,2,1,1,0,3,0,3,3,2,1
1819,2,1,Slight Injury,18,2,1,1,5,5,1,3,10,7,7,2,5,8,5,2,1,6,0,3,0,3,3,2,1
1820,2,2,Slight Injury,16,2,1,4,3,5,0,2,5,5,7,2,5,8,5,2,1,2,0,2,0,1,3,0,1
1821,2,2,Slight Injury,16,2,3,4,0,2,1,2,0,10,6,2,5,8,5,2,1,2,0,3,0,1,3,0,1
1822,2,1,Slight Injury,19,3,1,4,5,3,1,3,1,8,6,2,5,8,5,2,0,2,0,3,0,3,0,2,1
1823,2,1,Slight Injury,19,3,4,4,5,1,1,3,4,14,9,7,5,8,5,2,0,2,0,3,0,3,0,2,1
1824,2,1,Slight Injury,7,2,1,4,1,5,0,2,2,7,7,2,5,2,5,2,0,2,0,3,0,0,3,0,1
1825,2,1,Slight Injury,7,2,3,4,4,5,0,2,16,8,7,2,5,8,5,2,0,4,0,0,0,1,3,1,1
1826,2,1,Slight Injury,23,1,1,4,1,5,2,2,1,10,6,2,5,2,5,2,0,2,0,3,0,0,0,0,1
1827,2,1,Slight Injury,23,1,3,1,1,5,3,2,1,9,6,2,5,8,5,2,0,2,0,3,0,0,0,1,1
1828,1,1,Serious Injury,16,1,3,1,0,5,0,2,9,5,2,1,5,8,5,2,7,4,0,3,0,1,3,1,1
1829,1,2,Serious Injury,7,1,3,1,5,5,0,3,9,8,7,2,5,8,5,2,5,1,2,0,0,3,3,2,1
1830,1,2,Serious Injury,7,1,3,4,0,5,0,2,0,5,6,2,5,8,5,2,5,4,0,3,0,0,3,1,1
1831,2,1,Slight Injury,10,4,4,4,5,0,0,3,9,8,6,2,5,8,5,4,7,2,0,3,3,3,3,2,1
1832,2,1,Slight Injury,10,4,2,1,5,4,0,3,10,3,9,2,5,8,5,4,7,2,0,3,3,3,3,2,1
1833,1,1,Slight Injury,12,4,1,4,3,5,1,2,9,17,7,7,5,8,5,2,1,4,0,4,0,1,3,1,1
1834,2,1,Slight Injury,19,6,3,4,1,2,1,1,1,7,9,3,5,8,5,2,0,2,0,3,0,0,0,0,1
1835,2,1,Slight Injury,19,6,4,4,4,5,1,1,0,17,6,2,5,8,5,2,0,2,0,0,0,2,0,0,1
1836,2,1,Slight Injury,15,6,1,4,5,2,1,3,12,10,6,2,5,8,5,2,0,4,0,3,0,3,3,2,1
1837,2,1,Slight Injury,15,6,3,4,0,3,3,2,10,13,7,2,5,8,5,2,0,4,0,3,0,0,3,1,1
1838,2,1,Slight Injury,8,6,1,6,0,0,1,2,12,5,7,2,3,6,5,2,7,6,0,3,0,0,3,0,1
1839,2,1,Slight Injury,8,6,1,4,4,1,3,2,5,5,6,2,3,2,5,2,7,1,0,3,0,1,3,0,1
1840,2,1,Slight Injury,8,5,1,2,1,5,1,2,1,11,9,2,5,8,5,2,3,2,0,3,0,2,3,1,1
1841,2,1,Slight Injury,8,5,0,4,0,5,0,1,10,0,7,9,5,8,1,2,3,2,0,3,0,2,3,1,1
1842,1,1,Serious Injury,23,2,2,2,4,1,4,2,10,0,9,2,5,2,1,2,0,4,0,1,0,2,0,1,1
1843,2,1,Slight Injury,21,4,1,1,0,5,0,2,0,0,2,4,5,8,5,2,2,2,0,3,0,2,0,1,1
1844,2,1,Slight Injury,21,4,0,4,0,5,0,2,1,11,9,2,5,8,5,2,2,2,0,0,0,2,0,1,1
1845,2,1,Slight Injury,19,4,0,1,4,5,1,2,1,4,6,2,5,8,1,2,7,1,0,3,0,2,3,0,1
1846,2,1,Slight Injury,19,4,5,2,0,4,0,2,5,8,9,2,5,6,5,2,7,2,0,0,0,0,3,0,1
1847,1,1,Slight Injury,12,4,2,4,5,5,4,3,9,4,7,2,5,6,5,2,7,1,0,3,0,3,3,2,1
1848,2,1,Slight Injury,20,0,0,4,5,5,1,3,0,8,4,2,5,1,5,2,1,2,0,3,0,3,0,2,1
1849,2,1,Slight Injury,20,0,1,4,0,5,0,2,11,13,2,3,5,8,5,2,1,2,0,3,0,1,0,0,1
